Nro_Control;Monto_Total;Forma_Pago_1;Fecha_Pago_1;Referencia_1;Banco_1;Forma_Pago_2;Fecha_Pago_2;Referencia_2;Banco_2
528;2680.0;OTR;14/06/2025;616557693437;BANCARIBE;;;;
529;2630.07;OTR;14/06/2025;00271703542;BANCARIBE;;;;
531;2545.0;TRA;14/06/2025;3701150468231;BANCARIBE;TRA;15/06/2025;3701150486323.0;BANCARIBE
532;5076.02;TRA;14/06/2025;3701150405012;BANCARIBE;;;;
533;2542.71;TRA;16/06/2025;64007409;BANCARIBE;;;;
534;4537.98;TRA;30/05/2025;3701148644126;BANCARIBE;;;;
535;5072.77;TRA;17/06/2025;3701150865401;BANCARIBE;;;;
539;2542.71;TJD;20/06/2025;113090;BANCARIBE;;;;
540;2919.3;TJD;20/06/2025;175676;BANCARIBE;;;;
541;5838.6;TJD;20/06/2025;175676;BANCARIBE;;;;
542;2542.71;TJD;20/06/2025;000433;BANCARIBE;;;;
543;2627.37;TJD;20/06/2025;285488;BANCARIBE;;;;
544;2542.71;TJD;20/06/2025;323030;BANCARIBE;;;;
545;5254.74;TJD;20/06/2025;922668;BANCARIBE;;;;
546;5085.42;TJD;20/06/2025;952272;BANCARIBE;;;;
547;2542.71;TJD;20/06/2025;970690;BANCARIBE;;;;
548;5254.74;TJD;20/06/2025;039344;BANCARIBE;;;;
549;5085.42;TJD;20/06/2025;815950;BANCARIBE;;;;
550;2530.06;TJD;20/06/2025;571980;BANCARIBE;;;;
551;2530.06;TJD;20/06/2025;571980;BANCARIBE;;;;
552;2530.06;TJD;20/06/2025;222875;BANCARIBE;;;;
554;10120.24;TJD;20/06/2025;961969;BANCARIBE;;;;
555;10120.24;TJD;20/06/2025;961969;BANCARIBE;;;;
556;15764.22;TJD;20/06/2025;074360;BANCARIBE;TJD;20/06/2025;75305.0;BANCARIBE
557;2627.37;TJD;20/06/2025;596649;BANCARIBE;;;;
558;583.86;TJD;20/06/2025;123394;BANCARIBE;;;;
559;2530.06;TJD;20/06/2025;075698;BANCARIBE;;;;
562;10170.84;TJD;20/06/2025;121984;BANCARIBE;;;;
563;1751.71;TJD;20/06/2025;168822;BANCARIBE;;;;
564;2627.37;TJD;20/06/2025;052440;BANCARIBE;;;;
565;2531.0;OTR;20/06/2025;490176393;BANCARIBE;;;;
566;18391.59;TJD;20/06/2025;443261;BANCARIBE;;;;
567;2542.71;TRA;19/06/2025;3701151015509;BANCARIBE;;;;
568;5085.42;TRA;18/06/2025;050889665;BANCARIBE;;;;
569;15764.22;TJD;20/06/2025;173870;BANCARIBE;;;;
580;2627.37;TJD;23/06/2025;946272;BANCARIBE;;;;
591;2542.71;TJD;23/06/2025;931983;BANCARIBE;;;;
592;19462.0;TJD;23/06/2025;972681;BANCARIBE;;;;
593;5254.74;TJD;23/06/2025;135503;BANCARIBE;;;;
594;2627.37;TJD;23/06/2025;019582;BANCARIBE;;;;
595;2627.37;TJD;23/06/2025;139536;BANCARIBE;;;;
596;10120.24;TJD;23/06/2025;281380;BANCARIBE;;;;
597;5254.74;TJD;23/06/2025;001964;BANCARIBE;;;;
601;2238.13;TJD;23/06/2025;166323;BANCARIBE;;;;
602;5254.74;TJD;23/06/2025;174701;BANCARIBE;;;;
603;4700.0;TJD;23/06/2025;223635;BANCARIBE;;;;
604;4865.5;TJD;23/06/2025;973270;BANCARIBE;;;;
605;2200.0;OTR;10/06/2025;616156912583;BANCARIBE;;;;
606;2150.55;OTR;20/06/2025;7910;BANCARIBE;OTR;22/06/2025;7923.0;BANCARIBE
608;2627.37;TRA;16/06/2025;20418442208;BANCARIBE;;;;
609;7882.11;TJD;23/06/2025;553581;BANCARIBE;;;;
610;2627.37;TJD;23/06/2025;527899;BANCARIBE;;;;
611;7590.18;TJD;23/06/2025;115684;BANCARIBE;;;;
612;4000.0;TJD;25/06/2025;392084;BANCARIBE;;;;
613;7628.13;TJD;25/06/2025;462585;BANCARIBE;;;;
614;5254.74;TJD;25/06/2025;502984;BANCARIBE;;;;
615;5254.74;TJD;25/06/2025;078474;BANCARIBE;;;;
616;5085.42;TJD;25/06/2025;903692;BANCARIBE;;;;
617;2542.71;TJD;25/06/2025;039339;BANCARIBE;;;;
618;10170.84;TJD;25/06/2025;945184;BANCARIBE;;;;
619;2627.37;TJD;25/06/2025;126609;BANCARIBE;;;;
620;2542.71;TJD;25/06/2025;122994;BANCARIBE;;;;
621;5085.42;TJD;25/06/2025;281080;BANCARIBE;;;;
622;2919.3;TJD;25/06/2025;433084;BANCARIBE;;;;
623;10509.48;TJD;25/06/2025;865646;BANCARIBE;;;;
624;2627.37;TJD;25/06/2025;202203;BANCARIBE;;;;
625;2542.71;TJD;25/06/2025;250779;BANCARIBE;;;;
626;7700.0;TJD;25/06/2025;000489;BANCARIBE;;;;
633;5254.74;TJD;25/06/2025;053672;BANCARIBE;;;;
634;25427.1;TJD;25/06/2025;143459;BANCARIBE;;;;
635;5254.74;TJD;25/06/2025;305781;BANCARIBE;TJD;25/06/2025;494.0;BANCARIBE
636;2530.06;TJD;25/06/2025;421984;BANCARIBE;;;;
637;2530.06;TJD;25/06/2025;076573;BANCARIBE;;;;
638;2530.06;TJD;25/06/2025;177602;BANCARIBE;;;;
639;5838.6;TJD;25/06/2025;791794;BANCARIBE;;;;
640;2530.06;TJD;25/06/2025;144693;BANCARIBE;;;;
641;11000.0;OTR;19/06/2025;4524194524;BANCARIBE;;;;
642;5000.0;OTR;24/06/2025;617559552761;BANCARIBE;;;;
643;2741.7;OTR;25/06/2025;051766710545;BANCARIBE;;;;
669;4739.0;TJD;26/06/2025;910266;BANCARIBE;;;;
670;7628.13;TJD;26/06/2025;124877;BANCARIBE;;;;
671;5085.16;TJD;26/06/2025;124877;BANCARIBE;;;;
672;7882.11;TJD;26/06/2025;924361;BANCARIBE;;;;
673;8952.52;TJD;26/06/2025;231279;BANCARIBE;;;;
674;13136.85;TJD;26/06/2025;275672;BANCARIBE;;;;
675;2530.06;TJD;26/06/2025;311286;BANCARIBE;;;;
676;2542.71;TJD;26/06/2025;1254261;BANCARIBE;;;;
677;2542.71;TJD;26/06/2025;161723;BANCARIBE;;;;
678;5060.12;TJD;26/06/2025;163822;BANCARIBE;;;;
679;2542.71;TJD;26/06/2025;015537;BANCARIBE;;;;
680;17798.97;TJD;26/06/2025;172470;BANCARIBE;;;;
681;2530.06;TJD;26/06/2025;035304;BANCARIBE;;;;
682;10170.84;TJD;26/06/2025;581317;BANCARIBE;;;;
683;2542.71;TJD;26/06/2025;873253;BANCARIBE;;;;
684;2542.71;TJD;26/06/2025;473800;BANCARIBE;;;;
685;5254.74;TJD;26/06/2025;011496;BANCARIBE;;;;
686;2627.37;TRA;26/06/2025;3701151788309;BANCARIBE;;;;
687;2542.71;TJD;26/06/2025;293690;BANCARIBE;;;;
691;2542.71;TJD;27/06/2025;007176;BANCARIBE;;;;
